number,subject,light,location,time,exif,original_path,expert0_path,expert1_path,expert2_path,expert3_path,expert4_path
0001,nature,sun or sky,outdoors,day,NIKON D70 30mm F/10.0 1/400 ISO200 6.0MP,/home/iacv3_1/fivek/original/0.png,/home/iacv3_1/fivek/expert0/0.png,/home/iacv3_1/fivek/expert1/0.png,/home/iacv3_1/fivek/expert2/0.png,/home/iacv3_1/fivek/expert3/0.png,/home/iacv3_1/fivek/expert4/0.png
0002,person(s),mixed,indoors,day,NIKON D700 50mm F/2.8 1/25 ISO2000 12.1MP,/home/iacv3_1/fivek/original/1.png,/home/iacv3_1/fivek/expert0/1.png,/home/iacv3_1/fivek/expert1/1.png,/home/iacv3_1/fivek/expert2/1.png,/home/iacv3_1/fivek/expert3/1.png,/home/iacv3_1/fivek/expert4/1.png
0003,man-made object,sun or sky,outdoors,day,Canon EOS 40D F/2.8 1/60 ISO100 10.1MP,/home/iacv3_1/fivek/original/2.png,/home/iacv3_1/fivek/expert0/2.png,/home/iacv3_1/fivek/expert1/2.png,/home/iacv3_1/fivek/expert2/2.png,/home/iacv3_1/fivek/expert3/2.png,/home/iacv3_1/fivek/expert4/2.png
0004,nature,sun or sky,outdoors,day,Canon EOS 5D F/10.0 1/80 ISO400 12.7MP,/home/iacv3_1/fivek/original/3.png,/home/iacv3_1/fivek/expert0/3.png,/home/iacv3_1/fivek/expert1/3.png,/home/iacv3_1/fivek/expert2/3.png,/home/iacv3_1/fivek/expert3/3.png,/home/iacv3_1/fivek/expert4/3.png
0005,man-made object,sun or sky,outdoors,day,Canon EOS 30D F/7.1 1/100 ISO100 8.2MP,/home/iacv3_1/fivek/original/4.png,/home/iacv3_1/fivek/expert0/4.png,/home/iacv3_1/fivek/expert1/4.png,/home/iacv3_1/fivek/expert2/4.png,/home/iacv3_1/fivek/expert3/4.png,/home/iacv3_1/fivek/expert4/4.png
0006,animal(s),sun or sky,outdoors,day,Canon EOS DIGITAL REBEL XSi F/5.6 1/200 ISO320 12.2MP,/home/iacv3_1/fivek/original/5.png,/home/iacv3_1/fivek/expert0/5.png,/home/iacv3_1/fivek/expert1/5.png,/home/iacv3_1/fivek/expert2/5.png,/home/iacv3_1/fivek/expert3/5.png,/home/iacv3_1/fivek/expert4/5.png
0007,man-made object,sun or sky,outdoors,day,Canon EOS DIGITAL REBEL XSi F/2.8 1/320 ISO800 12.2MP,/home/iacv3_1/fivek/original/6.png,/home/iacv3_1/fivek/expert0/6.png,/home/iacv3_1/fivek/expert1/6.png,/home/iacv3_1/fivek/expert2/6.png,/home/iacv3_1/fivek/expert3/6.png,/home/iacv3_1/fivek/expert4/6.png
0008,person(s),artificial,indoors,unknown,Canon EOS DIGITAL REBEL F/4.0 1/60 ISO400 6.3MP,/home/iacv3_1/fivek/original/7.png,/home/iacv3_1/fivek/expert0/7.png,/home/iacv3_1/fivek/expert1/7.png,/home/iacv3_1/fivek/expert2/7.png,/home/iacv3_1/fivek/expert3/7.png,/home/iacv3_1/fivek/expert4/7.png
0009,unknown,mixed,indoors,day,FinePixS2Pro 34mm F/6.7 1/125 ISO100 12.1MP,/home/iacv3_1/fivek/original/8.png,/home/iacv3_1/fivek/expert0/8.png,/home/iacv3_1/fivek/expert1/8.png,/home/iacv3_1/fivek/expert2/8.png,/home/iacv3_1/fivek/expert3/8.png,/home/iacv3_1/fivek/expert4/8.png
0010,nature,sun or sky,outdoors,day,Canon EOS 20D F/9.0 1/60 ISO100 8.2MP,/home/iacv3_1/fivek/original/9.png,/home/iacv3_1/fivek/expert0/9.png,/home/iacv3_1/fivek/expert1/9.png,/home/iacv3_1/fivek/expert2/9.png,/home/iacv3_1/fivek/expert3/9.png,/home/iacv3_1/fivek/expert4/9.png
